GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BLW001,BM4001,BM4002,BM4003,BM4004,BM4005,BMX001,BMY001,BMY002,BMY003,BMZ001,BMZ002,BMZ003,BMZ004,BMZ005,BMZ006,BMZ007,BMZ008,BMZ009,BMZ010,BMZ011
"G18009700001","1930","Indiana","18","Marion","097",,"0001",,"Tract    0001     in Indianapolis IN",1642,1469,103,36,34,0,410,228,169,13,7,10,33,60,105,9,1,2,0,0,1
"G18009700002","1930","Indiana","18","Marion","097",,"0002",,"Tract    0002     in Indianapolis IN",2690,2436,198,55,1,0,675,304,351,20,1,0,1,57,152,77,6,5,1,1,3
"G18009700003","1930","Indiana","18","Marion","097",,"0003",,"Tract    0003     in Indianapolis IN",1050,931,51,12,56,0,264,174,90,0,6,6,7,33,89,31,0,2,0,0,0
"G18009700004","1930","Indiana","18","Marion","097",,"0004",,"Tract    0004     in Indianapolis IN",3434,2715,215,56,448,0,858,426,425,7,3,18,38,87,209,56,4,1,0,1,9
"G18009700005","1930","Indiana","18","Marion","097",,"0005",,"Tract    0005     in Indianapolis IN",799,746,32,6,13,2,195,139,56,0,6,13,13,42,58,7,0,0,0,0,0
"G18009700006","1930","Indiana","18","Marion","097",,"0006",,"Tract    0006     in Indianapolis IN",3135,2628,306,69,132,0,929,666,261,2,7,6,6,14,196,400,30,7,0,0,0
"G18009700007","1930","Indiana","18","Marion","097",,"0007",,"Tract    0007     in Indianapolis IN",6429,5510,714,200,5,0,1838,992,830,16,1,3,10,51,334,463,86,27,4,0,13
"G18009700008","1930","Indiana","18","Marion","097",,"0008",,"Tract    0008     in Indianapolis IN",1559,516,48,16,979,0,398,235,160,3,35,44,48,58,37,9,1,1,0,0,2
"G18009700009","1930","Indiana","18","Marion","097",,"0009",,"Tract    0009     in Indianapolis IN",1650,681,38,15,916,0,364,169,191,4,14,18,42,59,28,7,0,0,0,1,0
"G18009700010","1930","Indiana","18","Marion","097",,"0010",,"Tract    0010     in Indianapolis IN",3408,2923,252,80,153,0,899,355,535,9,1,13,33,116,161,27,3,0,0,0,1
"G18009700011","1930","Indiana","18","Marion","097",,"0011",,"Tract    0011     in Indianapolis IN",4961,3912,625,230,194,0,1328,680,639,9,0,8,12,39,283,287,27,16,1,2,5
"G18009700012","1930","Indiana","18","Marion","097",,"0012",,"Tract    0012     in Indianapolis IN",3438,1756,231,78,1372,1,961,273,674,14,0,11,16,48,124,61,11,2,0,0,0
"G18009700013","1930","Indiana","18","Marion","097",,"0013",,"Tract    0013     in Indianapolis IN",2915,335,34,15,2531,0,761,165,503,93,3,20,29,66,38,6,0,0,0,0,3
"G18009700014","1930","Indiana","18","Marion","097",,"0014",,"Tract    0014     in Indianapolis IN",2775,27,3,1,2744,0,744,185,553,6,7,16,44,63,44,10,0,0,0,0,1
"G18009700015","1930","Indiana","18","Marion","097",,"0015",,"Tract    0015     in Indianapolis IN",1346,1043,142,34,127,0,367,178,167,22,0,5,3,17,67,47,19,10,3,6,1
"G18009700016","1930","Indiana","18","Marion","097",,"0016",,"Tract    0016     in Indianapolis IN",7367,6002,851,232,282,0,2095,753,1316,26,0,2,2,22,110,344,146,74,26,14,13
"G18009700017","1930","Indiana","18","Marion","097",,"0017",,"Tract    0017     in Indianapolis IN",5155,3057,366,121,1611,0,1399,365,1013,21,0,3,6,32,167,116,21,12,4,1,3
"G18009700018","1930","Indiana","18","Marion","097",,"0018",,"Tract    0018     in Indianapolis IN",8069,6663,955,252,197,2,2528,601,1904,23,0,1,2,7,86,176,121,121,40,39,8
"G18009700019","1930","Indiana","18","Marion","097",,"0019",,"Tract    0019     in Indianapolis IN",8979,6928,1197,285,559,10,2946,464,2457,25,1,0,0,4,37,76,86,106,46,108,0
