word,count
fine,4
location,25
overlooking,4
the,341
hudson,7
convenient,30
to,256
transportation,94
henry,3
parkway,20
makes,2
area,133
very,36
accessbile,1
new,83
york,26
center,27
by,39
automobile,3
,282
there,25
is,136
a,148
tuberculosis,1
home,16
near,47
southorn,1
portion,10
of,387
this,80
major,1
neighborhood,40
presently,1
help,2
up,28
wealthy,1
people,13
many,55
whom,1
have,43
large,29
estates,1
ultimate,3
development,14
for,115
high,46
grade,27
homes,29
and,384
rent,44
garden,3
apartments,127
now,16
construction,59
was,7
built,11
sell,6
25000,1
but,24
has,33
subsequently,1
failed,2
at,37
10,17
discount,1
only,10
6,1
houses,131
having,2
been,42
absorbed,1
date,1
highly,4
restricted,6
well,22
planned,3
residential,34
individual,1
design,2
section,41
its,14
kind,2
in,174
city,72
distance,15
business,115
somewhat,6
inconvenient,14
subway,29
finest,2
strictly,3
character,11
within,4
all,70
as,41
plan,2
buyer,1
cost,9
because,16
it,21
so,9
protected,4
had,7
little,7
competition,2
warrants,1
first,11
rating,1
although,18
some,54
are,120
old,67
few,15
smaller,1
which,22
would,1
low,25
12000,1
15000,1
suburban,4
atmosphere,2
desirable,35
modest,5
adjacent,29
van,5
cortlandt,5
park,74
shopping,32
double,5
carfare,2
downtown,4
recently,7
opened,2
bridge,11
readily,2
accessible,2
future,4
will,13
be,17
favorably,5
affected,5
highway,12
prior,3
not,25
uniform,1
land,15
values,8
higher,8
broadway,24
on,98
potential,1
multifamily,11
use,9
singlefamily,1
brick,45
25,15
lots,2
selling,5
900010000,1
most,21
cases,3
newer,10
also,6
they,6
better,23
condition,12
bring,1
best,6
prices,10
recommended,9
zoning,27
with,76
onefamily,1
modern,42
fare,5
small,31
from,50
encroachment,12
1000015000,1
homogeneous,1
good,75
polham,2
bay,9
poor,46
adjoining,7
ground,18
north,26
quite,10
white,12
plains,10
ave,160
gould,1
foundation,1
children,1
located,16
directly,1
southeast,5
considered,7
objectionable,1
particularly,10
summer,7
one,21
twofamily,11
bronx,9
facilities,62
district,18
scattered,12
franco,1
cemetery,18
souther,1
edge,3
concentrated,4
along,44
katonah,3
units,21
viroo,1
properties,23
below,5
standard,1
teh,1
part,22
southwest,3
kopler,1
where,8
predominantly,2
any,4
undesirable,2
infiltration,15
continues,2
resdiential,1
throughout,7
several,11
frame,19
unattractive,2
bulk,1
238th,1
st,54
west,15
main,55
highways,1
east,25
webster,2
fairley,1
surrounded,6
poorer,11
consists,4
about,20
20,14
hill,7
bordered,1
three,2
sides,2
elevation,1
conveniently,1
parks,3
schools,20
etc,35
served,1
two,8
lines,1
apartment,41
house,24
northeastern,1
end,10
concourse,3
mosholu,1
fairly,18
rapid,2
growth,1
class,35
elevator,33
renting,60
30,12
per,127
room,109
8th,11
aveneue,1
owned,2
speeded,1
active,6
n,1
ow,1
single,15
primarily,11
consdierable,1
age,32
80,2
western,5
side,18
reservoir,1
northern,4
general,7
trend,17
however,3
multiunits,1
substantial,28
centers,16
unites,1
undoubtedly,2
replace,1
private,30
eventually,4
such,12
that,7
type,34
housing,8
advisable,1
1820,4
walkup,21
homogenous,1
occupants,1
nominal,12
other,7
than,16
family,27
comletely,1
maintained,5
held,5
enjoys,2
reputation,3
probably,5
converstion,1
does,1
appear,1
imminent,1
next,1
years,32
kingsbridge,1
road,8
jerome,2
1416,1
anticipation,1
maximum,2
builders,1
pay,1
8000,1
lot,1
foot,2
frontage,1
closer,2
grand,3
more,15
become,3
substansial,1
proximity,2
university,4
building,15
given,2
over,4
sections,7
feel,1
an,24
increase,1
1625,1
1215,10
4family,2
loring,1
place,4
valued,2
12500,1
these,13
replaced,4
restrictions,6
expire,1
1940,1
r,2
1112,1
135015,1
southern,6
altogether,1
rather,2
mediocre,5
poorly,3
westchester,10
away,4
may,16
influenced,1
bronxlong,1
island,17
present,30
isolation,1
local,4
castlo,1
walkups,19
1415,3
shrinkage,3
heavy,18
number,22
foreclosed,1
no,14
wholesale,1
dumping,2
done,3
wel,1
known,2
overhand,1
can,2
purchased,1
bargain,1
banks,1
nothing,1
attractive,2
aboutt,1
castle,1
aves,26
whitestone,1
long,10
under,10
pelham,3
much,6
suitable,3
inconvient,1
northwest,8
corner,6
originally,1
developed,2
cottage,2
sound,6
bathing,7
favorable,5
influence,6
water,10
clean,2
appearance,4
appeal,1
precludes,1
ever,1
being,11
third,1
vacant,8
lies,2
1015,5
fair,11
socalled,2
country,1
club,3
too,1
sit,1
street,23
level,3
prospect,10
improvement,7
purposes,3
central,30
occasioned,1
areas,20
rentals,20
employment,2
haven,1
rr,11
shops,4
yards,7
except,20
anticipated,1
vicinity,1
metropolitan,2
ins,1
co,2
project,5
if,5
influences,3
felt,1
1012,4
eastern,6
half,1
invonvenient,1
frontages,1
valuable,1
sites,1
stores,21
unpaved,6
streets,59
noise,3
elevated,32
experience,11
occupancy,2
show,1
less,5
limited,4
apts,10
demand,12
exists,1
financing,1
available,1
their,2
considerable,16
centered,1
233rd,4
doing,1
medium,15
communistic,3
3,10
rd,9
boston,4
gun,1
balance,5
2family,3
sold,3
65008500,1
homos,1
could,2
easily,1
develop,2
into,7
were,8
improved,5
proposed,5
extension,1
make,2
rapidly,2
when,1
completed,3
open,3
scale,3
60008000,1
plans,3
way,3
trolley,1
bus,3
comparatively,6
provision,1
process,2
conversion,12
12,3
elevators,1
1518,3
boscobel,2
improves,2
above,7
financed,1
state,1
authority,2
quasiphilanthropic,1
nature,1
average,14
vacancy,2
virtually,1
nil,2
groundpoor,1
sparsely,8
settled,10
isolated,1
without,4
or,29
conveniences,1
spots,1
surface,1
sewer,2
assessments,1
still,12
outstanding,1
jerrybuilt,1
55008250,1
placed,1
finding,1
ready,1
market,16
bayehestor,1
value,10
beaches,6
swimming,4
faciliates,2
lack,11
time,5
congestion,10
15,18
traffic,14
proportions,3
gradually,4
used,3
your,1
round,1
occumpancy,1
industry,26
shipbuilding,1
congregated,1
obsolescence,23
2030,2
claremont,3
congostod,1
rant,3
claramont,1
trasnportation,1
detrimental,2
borders,1
congested,7
1214,1
bordering,1
adn,1
taking,1
morris,1
subways,1
completely,2
zoned,3
commercial,4
hunts,1
point,1
prospects,1
improvements,10
quiet,4
atomosphere,1
minimum,4
filling,1
playground,2
both,5
additional,1
those,7
who,3
want,1
insurance,1
between,12
randall,1
lacombo,1
commonwealth,1
rosedale,1
view,5
noble,1
block,2
south,23
condemned,1
showed,1
underneath,2
same,3
badly,2
out,2
line,4
cracked,1
walls,1
sagging,1
inside,1
floors,1
stairways,1
four,1
ftoloy,1
5500,1
cash,1
each,1
multifamily20,1
total,1
conveninet,1
facilitates,2
foreclosures,4
westpoorly,1
river,4
filled,1
generally,6
speaking,1
poi9nt,1
stroot,1
wheeler,1
motcalf,2
provide,1
widening,1
join,1
blv,1
connection,1
entrance,1
bronxwhitestonelong,1
1516,1
rm,12
tremont,1
negro,5
avenue,23
approaches,1
216th,1
229th,1
created,1
eastchester,1
wilson,1
markets,3
obsolete,12
washington,4
180th,1
184th,1
sts,8
slightly,2
68,15
concentration,2
tracks,7
run,2
through,4
cut,2
represents,2
lower,15
encroachments,1
blvd,7
getting,1
steady,3
italian,5
apartmetns,2
grotona,1
puerto,2
rican,2
rehabilitation,6
spanish,1
population,14
unstable,1
relief,1
load,1
everywhere,1
poorest,4
schols,1
industrial,6
enchroachment,1
rooming,25
rentable,1
consequential,1
adaptable,2
79,3
constructed,7
triboro,1
attracting,1
accessibility,1
points,2
outlying,4
3rd,19
146th,1
160th,1
none,22
dilapidated,1
shack,1
shore,8
drive,14
landscaped,2
harbor,2
lawns,3
gardens,7
5,15
principally,9
26,2
rms,16
2023,1
substantially,2
futre,1
modernization,8
them,2
competitive,2
basis,2
offerings,1
school,6
crescent,1
athletic,1
property,11
83rd,1
85th,1
close,12
wellmaintained,1
rows,3
oldfashioned,1
brown,3
stone,4
singles,25
shipping,1
waterfront,2
lessened,1
40,8
ft,2
drop,1
wall,1
furman,1
2040,1
35,17
con,1
verted,1
410,1
families,11
13,1
suites,5
furnished,4
unfurnished,1
degree,3
varies,1
makeshift,7
boarded,9
due,8
wuality,1
vaues,1
rising,1
absorb,1
unmarried,1
hotels,4
clubs,2
ocean,19
front,8
mized,5
types,15
structures,23
mixed,16
races,9
jewish,5
northeast,11
surrounding,5
neighborhoods,9
34,7
story,14
rooms,15
812,4
6story,8
75th,2
18,4
protective,1
pride,15
ownership,12
attracctive,1
trees,3
coney,4
j,1
another,3
h,1
e,3
10th,5
difficult,1
thouth,1
kept,8
possibility,3
adversely,4
affect,2
situation,1
adequate,5
detached,3
attractively,1
similar,6
converted,23
46,12
adverse,2
apparent,2
brooklyn,5
college,2
remote,3
2,6
fares,1
4story,4
kings,8
1422,1
nostrand,6
older,11
modernized,1
evident,4
railroad,8
coal,2
flatbush,6
larger,4
36,6
stable,3
middle,1
activity,5
twofare,1
zone,3
past,5
months,5
row,16
predominate,3
thoroughfare,6
system,1
extended,2
incomplete,1
thomas,2
parochial,1
flatlands,2
marine,4
jacob,2
riis,2
build,2
boom,2
yrs,9
realty,3
associates,3
2fare,2
improving,1
popular,2
catholic,2
attached,1
beach,8
tennis,1
courts,2
handball,1
shaded,1
protection,1
slow,3
624,1
boarding,5
peninsular,1
preserved,1
year,2
highland,4
steep,1
1014,3
plots,1
off,1
jamaica,2
dead,1
neat,2
atop,1
beautified,1
subward,1
9th,7
avenues,10
fireproof,1
1835,1
included,3
810,2
profitable,1
properly,1
example,1
expenditure,1
18000,1
10000,1
yields,1
5600,1
gross,1
rents,25
duo,1
current,1
23,1
aristocratic,2
uniformity,2
botanical,1
yr,1
630,1
121750,1
midtown,1
broad,2
thoroughface,1
utica,3
president,1
kingston,1
1family,2
1300030000,1
rented,2
down,1
town,1
transition,3
toward,6
replacing,4
lefforts,2
manor,2
see,5
38,1
1223,1
palatial,2
lincoln,1
genmore,1
rogers,2
perpetual,1
restriction,1
parts,3
playgrounds,1
eas,1
holy,1
