word,count
fine,2
location,7
overlooking,3
the,28
hudson,4
convenient,1
to,24
transportation,9
henry,1
parkway,1
makes,1
area,13
very,4
accessbile,1
new,9
york,5
center,2
by,3
automobile,1
,35
there,6
is,10
a,11
tuberculosis,1
home,1
near,2
southorn,1
portion,4
of,31
this,3
major,1
neighborhood,2
presently,1
help,1
up,3
wealthy,1
people,1
many,7
whom,1
have,3
large,3
estates,1
ultimate,1
development,2
for,8
high,7
grade,7
homes,6
and,19
rent,1
garden,1
apartments,11
now,2
construction,3
was,1
built,3
sell,3
25000,1
but,2
has,3
subsequently,1
failed,1
at,3
10,2
discount,1
only,2
6,1
houses,7
having,1
been,3
absorbed,1
date,1
highly,1
restricted,3
well,2
planned,1
residential,12
individual,1
design,1
section,2
its,1
kind,1
in,9
city,11
distance,1
business,13
somewhat,2
inconvenient,1
subway,2
finest,2
strictly,1
character,1
within,2
all,12
as,9
plan,1
buyer,1
cost,1
because,1
it,3
so,4
protected,1
had,2
little,1
competition,1
warrants,1
first,2
rating,1
although,3
some,1
are,7
old,2
few,1
smaller,1
which,3
would,1
low,1
12000,1
15000,1
shore,3
road,1
drive,2
landscaped,1
harbor,1
view,1
main,9
zoned,1
lawns,1
gardens,1
away,1
from,3
noise,1
heavy,1
traffic,1
none,7
5,1
class,2
principally,1
along,1
26,1
rms,1
2023,1
per,6
room,3
an,1
substantially,1
adaptable,1
futre,1
modernization,1
place,1
them,2
on,2
competitive,1
basis,1
with,6
offerings,1
school,1
proposed,1
crescent,1
athletic,1
club,1
property,1
between,1
83rd,1
85th,1
st,3
rd,1
facilities,8
central,10
good,5
adjacency,1
poor,2
neighborhoods,1
street,6
1st,1
ave,13
reclaimed,1
slum,1
highest,6
type,2
chiefly,1
apartment,3
small,2
number,2
moderate,1
size,1
private,8
dwellings,1
practically,8
rents,3
brackets,3
present,5
zoning,3
75,1
excellent,4
except,3
possible,1
encroachment,1
retail,2
streets,2
madison,4
park,8
57th,1
one,3
citys,4
choicest,5
areas,1
were,1
formerly,1
costly,1
residences,5
demolished,1
or,1
convorted,1
rooming,3
no,4
market,5
such,4
choice,1
adjacent,1
trend,3
sections,2
primarily,1
still,2
expensive,1
demand,1
nil,1
land,1
values,1
extremely,1
rentals,2
run,1
6075,1
month,3
more,1
65,1
b,1
25,2
close,1
lexington,3
3rd,3
59th,1
east,4
steady,1
replacing,1
buildings,1
substantial,1
already,1
converted,1
etc,1
house,2
operators,1
elevated,1
age,1
obsolescence,1
structures,2
particularly,1
part,2
contains,2
older,1
poorer,1
gradually,1
process,1
replacement,1
majority,1
upper,1
single,1
family,1
facing,2
largest,1
like,1
rest,1
o,1
manhattan,1
however,1
entirely,2
consequently,1
nominal,1
conversion,1
70,1
northern,1
best,1
far,1
not,1
extended,1
may,1
do,1
time,1
day,1
commanding,1
river,1
riverside,1
broadway,1
desirable,1
medium,1
better,1
ranges,1
mainly,1
recent,1
years,1
elevator,1
walkup,1
mostly,1
around,1
14,1
considerable,1
due,1
municipal,1
