word,count
suburban,1
atmosphere,1
desirable,13
section,14
of,102
modest,1
homes,15
henry,2
hudson,2
parkway,7
adjacent,9
to,77
van,4
cortlandt,4
park,28
distance,5
new,32
york,9
business,26
center,6
inconvenient,4
shopping,8
double,4
carfare,2
downtown,3
the,82
recently,3
opened,2
and,108
bridge,3
makes,1
this,28
area,33
readily,1
accessible,1
by,17
automobile,1
future,2
neighborhood,14
will,8
be,10
favorably,2
affected,2
highway,5
although,4
prior,1
development,4
is,37
not,4
very,9
uniform,1
land,6
values,5
are,38
higher,5
near,11
broadway,10
on,28
cost,1
because,2
potential,1
multifamily,5
use,5
construction,16
singlefamily,1
brick,11
houses,40
25,5
lots,1
selling,3
for,34
900010000,1
in,51
most,10
cases,1
newer,6
also,4
they,3
better,4
condition,3
bring,1
best,4
prices,5
recommended,1
zoning,7
with,16
high,19
grade,4
onefamily,1
modern,13
subway,7
,65
fare,2
transportation,28
a,34
small,14
well,14
protected,3
from,13
encroachment,2
1000015000,1
homogeneous,1
good,24
planned,1
strictly,1
residential,8
polham,1
bay,3
poor,6
adjoining,2
ground,3
north,10
low,2
quite,4
but,10
white,1
plains,1
ave,42
gould,1
foundation,1
home,7
children,1
located,5
directly,1
southeast,2
considered,2
objectionable,1
some,15
people,2
particularly,4
summer,2
one,10
twofamily,3
bronx,1
all,23
city,18
facilities,15
district,5
scattered,3
old,11
franco,1
cemetery,5
souther,1
edge,1
apartments,45
concentrated,1
along,14
katonah,3
units,6
viroo,1
properties,6
below,3
standard,1
teh,1
part,6
southwest,2
kopler,1
where,2
predominantly,1
has,9
any,1
undesirable,1
infiltration,2
it,4
continues,1
as,13
resdiential,1
throughout,2
several,4
frame,3
which,8
unattractive,1
bulk,1
238th,1
st,19
west,4
main,13
highways,1
east,5
webster,1
fairley,1
convenient,10
surrounded,2
poorer,5
consists,2
about,6
20,7
hill,4
overlooking,1
bordered,1
three,1
sides,1
its,3
elevation,1
conveniently,1
parks,1
schools,3
etc,8
served,1
two,3
lines,1
apartment,14
house,8
northeastern,1
end,5
concourse,3
mosholu,1
had,3
fairly,4
rapid,1
growth,1
class,17
elevator,16
renting,15
up,5
30,4
per,28
room,26
8th,3
aveneue,1
owned,1
speeded,1
active,4
n,1
ow,1
single,4
primarily,2
consdierable,1
age,5
80,2
western,1
side,8
reservoir,1
northern,2
general,2
trend,8
however,1
rent,9
multiunits,1
substantial,10
centers,3
unites,1
undoubtedly,1
replace,1
private,14
eventually,4
such,5
that,4
only,2
type,10
housing,1
advisable,1
1820,2
walkup,6
homogenous,1
occupants,1
nominal,4
other,1
than,3
family,5
comletely,1
maintained,3
held,4
enjoys,1
reputation,2
ultimate,1
probably,3
converstion,1
does,1
appear,1
imminent,1
next,1
few,6
years,10
