word,count
convenient,14
to,87
van,1
cortlandt,1
park,26
schools,14
etc,14
all,10
city,13
facilities,12
distance,8
new,27
york,10
business,28
center,14
scattered,1
near,24
broadway,7
and,120
along,18
r,2
walkup,9
apartments,57
rent,21
for,47
1112,1
per,55
room,51
elevator,14
135015,1
the,140
southern,2
end,3
of,140
this,30
neighborhood,16
is,59
inconvenient,9
transportation,37
altogether,1
a,57
rather,2
mediocre,4
poorly,3
located,10
unattractive,1
nominal,4
subway,18
double,1
fare,3
from,19
westchester,9
ave,65
,77
construction,24
has,14
failed,1
sell,2
primarily,7
because,11
it,9
so,3
away,1
area,47
may,6
be,4
favorably,2
influenced,1
by,10
bronxlong,1
island,11
bridge,3
but,10
not,18
considered,4
very,14
desirable,20
at,11
present,7
its,7
isolation,1
1215,5
local,3
concentrated,2
castlo,1
hill,3
fairly,12
residential,10
section,17
twofamily,7
houses,44
walkups,10
1415,2
shrinkage,3
been,12
heavy,5
in,56
large,6
number,7
foreclosed,1
although,9
no,4
wholesale,1
dumping,1
properties,10
done,2
wel,1
known,1
that,2
overhand,1
can,1
purchased,1
bargain,1
prices,2
banks,1
there,8
nothing,1
particularly,2
attractive,1
aboutt,1
recommended,5
zoning,5
house,9
building,5
castle,1
aves,10
are,43
main,15
shopping,16
centers,9
whitestone,1
long,5
under,4
pelham,3
bay,6
low,8
ground,12
part,8
much,4
suitable,3
good,34
development,6
inconvient,1
cemetery,10
northwest,5
corner,3
originally,1
developed,2
with,26
cottage,2
type,13
sound,5
bathing,5
favorable,5
influence,3
water,4
clean,1
general,3
appearance,2
appeal,1
precludes,1
ever,1
being,7
better,9
than,8
third,1
class,7
vacant,5
lies,1
1015,4
northern,1
best,1
polham,1
some,21
poor,21
fair,3
substantial,10
socalled,1
country,1
club,1
district,6
too,1
many,16
sit,1
below,2
street,3
level,2
most,4
little,3
prospect,4
improvement,4
people,7
purposes,1
central,5
adjacent,11
which,6
occasioned,1
prior,1
areas,9
closer,1
apartment,20
rentals,5
other,4
employment,1
haven,1
rr,8
shops,2
yards,3
except,4
anticipated,1
vicinity,1
metropolitan,2
ins,1
co,2
project,3
if,3
any,1
influences,2
will,3
felt,1
1012,2
bronx,4
modest,4
character,6
eastern,3
half,1
invonvenient,1
renting,29
parkway,10
white,8
plains,8
frontages,1
on,37
valuable,1
sites,1
stores,11
unpaved,3
streets,20
noise,1
elevated,13
location,2
had,2
experience,4
occupancy,1
single,4
family,11
units,5
show,1
less,3
limited,3
these,4
few,6
apts,6
demand,3
exists,1
financing,1
available,1
their,2
considerable,6
small,8
centered,1
233rd,2
doing,1
medium,6
road,1
communistic,2
reputation,1
3,3
now,6
built,4
rd,4
boston,1
east,5
gun,1
portion,2
high,10
garden,1
balance,2
2family,1
sold,2
65008500,1
strictly,1
suburban,3
homos,1
could,1
easily,1
develop,2
into,4
grade,10
were,5
improved,3
proposed,1
extension,1
8th,3
undoubtedly,1
make,2
rapidly,1
when,1
completed,1
one,5
open,1
scale,2
brick,18
selling,2
60008000,1
plans,3
way,2
only,3
trolley,1
bus,3
comparatively,3
modern,16
as,8
sections,1
readily,1
accessible,1
provision,1
process,1
private,8
homes,5
age,10
valued,1
conversion,7
land,4
about,5
12,2
elevators,1
1518,2
boscobel,2
university,1
improves,1
above,3
consists,1
cost,3
multifamily,2
financed,1
state,1
housing,2
authority,1
quasiphilanthropic,1
nature,1
average,9
10,3
vacancy,1
virtually,1
nil,1
groundpoor,1
sparsely,1
settled,3
isolated,1
without,2
or,5
conveniences,1
spots,1
surface,1
two,3
sewer,1
assessments,1
still,4
outstanding,1
jerrybuilt,1
55008250,1
placed,1
lots,1
finding,1
ready,1
market,2
bayehestor,1
st,8
value,2
beaches,1
swimming,3
faciliates,1
lack,3
summer,2
time,2
congestion,4
15,7
traffic,4
proportions,3
gradually,3
used,1
your,1
round,1
occumpancy,1
industry,6
shipbuilding,1
western,3
side,6
newer,4
more,6
highly,2
congregated,1
obsolescence,3
jerome,1
2030,2
several,3
have,12
recently,3
edge,2
north,12
claremont,3
condition,5
quite,4
congostod,1
rant,2
claramont,1
trasnportation,1
detrimental,2
borders,1
congested,2
1214,1
bordering,1
west,5
adn,1
continues,1
taking,1
place,2
morris,1
webster,1
subways,1
completely,1
surrounded,1
zoned,1
commercial,1
use,1
hunts,1
point,1
prospects,1
improvements,3
quiet,2
atomosphere,1
minimum,1
filling,1
playground,1
both,2
sides,1
additional,1
those,2
who,2
want,1
atmosphere,1
owned,1
insurance,1
between,3
randall,1
lacombo,1
commonwealth,1
rosedale,1
view,2
noble,1
first,3
block,1
south,10
condemned,1
showed,1
underneath,1
same,1
badly,2
out,2
line,3
cracked,1
walls,1
sagging,1
inside,1
floors,1
stairways,1
four,1
4family,1
ftoloy,1
5500,1
cash,1
each,1
multifamily20,1
total,1
conveninet,1
facilitates,1
foreclosures,2
well,5
westpoorly,1
river,1
where,3
was,2
filled,1
generally,4
speaking,1
poi9nt,1
active,1
stroot,1
wheeler,1
motcalf,2
provide,1
widening,1
join,1
up,6
blv,1
connection,1
entrance,1
bronxwhitestonelong,1
1516,1
rm,5
tremont,1
school,1
mccarron,1
pool,2
old,21
heated,4
20,4
60,1
frame,6
34,5
story,8
40,3
yrs,6
46,6
rms,9
58,2
frugal,2
home,6
loving,1
fewer,1
sunset,1
stable,2
population,5
modernization,5
buildings,9
railroad,2
illegible,1
they,1
typed,1
top,1
another,2
maintained,2
rows,2
brown,1
stone,2
front,3
build,1
adversely,2
affected,3
thereby,1
poorer,4
concentration,1
italians,1
39th,1
43rd,1
7th,4
9th,1
obsolete,2
replaced,1
mixed,5
types,10
structure,7
utrecht,3
southwest,1
italian,1
northeast,4
mostly,2
620,1
families,4
rooms,4
1525,1
912,2
3060,2
8,3
rening,1
2022,1
principally,1
14th,2
15th,1
principal,5
13th,1
18th,1
ocean,12
wide,4
boulevard,2
garages,3
property,5
greenwood,1
washington,2
2530,1
812,2
1522per,1
mixture,8
transition,1
evident,1
especially,2
values,1
rents,5
higher,2
flatbush,2
structures,4
within,1
toward,2
816,1
nostrand,2
rogers,1
an,6
important,2
surrounding,2
kings,4
county,1
hospital,1
grounds,1
trend,5
southward,1
b4,1
nondescript,1
makeshift,2
mized,3
junk,1
68,5
shacks,1
included,1
figures,1
expected,2
improve,3
clarkson,1
parkside,1
industrial,2
uniformity,1
jewish,1
30,2
4story,1
35,8
915,1
highway,6
linden,2
blvd,2
thoroughfares,1
e,1
98th,1
sutter,1
past,1
joined,1
together,2
strike,1
agitation,1
kind,1
row,5
pride,5
ownership,4
lower,5
semimodern,1
710,1
adjoining,3
dykon,1
beach,3
tot,1
he,1
750950,1
decidedly,1
contiguous,1
due,3
deterioration,2
avenue,2
boarded,2
forclosure,1
parks,1
civic,1
existing,1
contemplated,1
circumferencial,1
among,1
latter,1
4,2
1014,2
6story,2
1618,1
various,3
degrees,1
heat,1
cropsey,1
thoroughfare,3
coney,2
replacing,1
older,4
encroachment,3
structur,1
mcdonald,3
25,4
1620,1
activity,2
avenues,3
inhabitants,3
developments,2
u,2
foreclosure,1
around,2
locust,1
elm,1
18,1
fashioned,1
larger,1
1820,2
1,1
2,2
automobile,1
public,1
contempleted,1
such,3
circumferential,1
shore,1
outlying,2
sewers,1
installed,1
dumps,2
amount,1
affect,1
while,1
predominantly,1
group,1
apparent,1
restricted,2
residents,3
sea,1
gate,1
association,1
tax,2
levy,2
mantenance,1
policing,1
equal,1
50,2
regular,1
hour,1
times,1
square,1
car,1
infiltration,6
rooming,6
resort,1
gradual,1
original,1
moved,1
suites,1
months,1
common,1
practice,1
instances,1
illegal,1
access,1
through,1
gates,1
set,1
purpose,1
guarded,1
special,1
police,1
day,1
night,1
calues,1
1113,1
1823,1
singles,6
y,1
bedford,1
emmons,1
5,1
catholic,1
church,1
vanderbilt,2
fort,1
greene,1
close,3
years,5
ago,2
55,1
2035,1
converted,6
1720,1
bath,1
waverly,1
incomes,1
here,1
range,5
12002000,1
ownershp,1
southeast,2
tracks,3
neighborhoods,4
3040,2
bushwick,2
1418,1
german,1
keep,1
neat,1
orderly,1
5th,2
floor,1
818,1
formerly,3
aristocratic,1
slope,1
price,2
controlling,1
factor,1
slow,2
negroes,3
811,1
brooklyn,1
1218,1
fine,1
adversly,1
owners,1
anxious,1
highland,1
cemeteries,1
largely,2
substantially,1
kept,2
possible,1
future,1
sunrise,1
79,1
industries,1
workers,1
3rd,1
races,1
