word,count
nominal,3
negro,4
infiltration,7
distance,1
to,68
new,15
york,2
business,48
center,5
elevated,17
along,11
white,3
plains,1
avenue,21
area,40
improves,1
as,11
it,5
approaches,1
233rd,2
st,24
on,31
the,91
north,4
concentrated,1
at,14
present,15
216th,1
and,137
229th,1
a,46
low,14
cost,4
housing,5
development,2
has,7
been,14
created,1
boston,3
road,4
between,6
eastchester,1
wilson,1
ave,40
recommended,3
zoning,12
for,26
is,30
twofamily,1
houses,40
medium,5
rant,1
garden,1
apartments,14
convenient,5
transportation,20
schools,3
etc,12
near,10
bronx,4
park,12
street,10
markets,3
congested,5
old,33
obsolete,5
,105
washington,1
properties,7
180th,1
184th,1
sts,7
are,32
fairly,2
desirable,1
slightly,1
better,9
than,5
balance,2
of,114
walkup,5
rent,13
68,9
per,38
room,29
there,7
considerable,8
small,7
scattered,8
throughout,5
section,8
with,28
concentration,1
in,58
northwest,2
corner,2
central,9
rr,3
tracks,4
run,1
through,3
an,9
open,2
cut,2
multifamily,4
units,10
represents,2
25,4
residential,4
adjacent,8
two,2
large,9
parks,1
lower,10
class,9
encroachments,1
main,18
shopping,8
this,19
neighborhood,8
southern,3
blvd,3
surrounded,3
by,9
poorer,1
getting,1
steady,2
italian,4
from,15
areas,7
apartmetns,2
grotona,1
centers,4
all,25
city,30
facilities,27
puerto,2
rican,2
homes,3
most,7
rehabilitation,6
spanish,1
into,3
population,9
very,9
unstable,1
relief,1
load,1
heavy,11
everywhere,1
one,3
poorest,4
good,12
schols,1
faciliates,1
highly,1
commercial,3
river,2
particularly,3
westchester,1
local,1
employment,1
industrial,4
enchroachment,1
traffic,1
high,10
many,20
single,6
family,10
used,2
rooming,7
house,5
purposes,1
vacancy,1
which,5
not,2
rentable,1
land,4
value,2
considered,1
primarily,1
consequential,1
where,3
location,12
adaptable,1
use,3
79,2
recently,1
constructed,6
triboro,1
bridge,5
attracting,1
industry,16
because,2
its,3
accessibility,1
long,4
island,3
points,1
western,1
part,6
active,1
outlying,2
located,1
3rd,12
146th,1
160th,1
none,7
poor,17
dilapidated,1
condition,4
sparsely,7
settled,7
shack,1
type,9
ground,3
school,2
mccarron,1
swimming,1
pool,1
congestion,6
docks,4
freight,1
yards,1
warehouses,4
manufacturing,2
65,4
frame,10
brick,16
cold,4
water,6
tenements,19
some,17
stores,6
46,5
rooms,10
renting,16
57,1
heterogeneous,1
mixed,10
types,2
upkeep,2
lack,8
pride,4
pushcart,2
vendors,1
curb,1
structures,13
fulton,5
atlantic,4
railroad,4
east,11
south,4
mixture,3
races,7
communistic,1
people,3
who,1
agitated,1
strikes,1
time,2
ago,3
law,14
semimodern,2
35,6
710,2
these,4
row,6
buildings,8
give,1
character,2
while,3
usually,2
substantial,7
construction,16
inhabitants,1
untidy,1
appearance,1
foreclosure,6
experience,7
about,9
5,8
boarded,6
up,14
pitkin,2
important,1
west,6
penssylvania,1
multiple,5
dwellings,7
predominate,1
10,8
avenues,4
greater,1
vacant,3
southeast,1
queens,4
boundary,1
line,1
linden,1
thoroughfare,1
possible,2
somewhat,2
ozone,1
adjoining,2
makeshift,4
unpaved,2
streets,19
largely,2
undeveloped,1
may,5
improve,1
due,2
possibility,2
building,7
existing,3
nondescript,5
b9,1
favorably,1
affecting,1
60th,1
encroachment,6
shipyards,1
garages,1
structure,7
30,6
rm,4
heated,3
retail,2
cemetery,3
subway,2
38th,4
utrecht,1
danish,1
polish,1
swedish,1
jewish,1
coal,1
pockets,1
16th,1
4story,1
walkups,1
8,2
average,2
undesirable,1
market,6
set,1
curbs,1
41st,2
13th,1
home,2
ownership,2
tonements,2
rns,1
rebtubg,1
grade,6
questionable,3
occupation,2
income,1
little,2
likelihood,1
improvement,3
contemplated,4
public,2
improvements,6
shore,3
front,4
beaches,5
dumpssparsely,1
surrounding,1
typos,1
property,2
unimproved,3
few,2
modern,13
flatlands,1
l,1
practically,2
dumps,4
swamps,1
except,6
proximity,1
beach,2
lafayette,1
now,2
under,5
benson,2
stilwell,2
no,2
planning,2
but,2
sanitary,1
stillwell,1
benefits,1
cited,1
1b,1
above,3
living,1
shacks,3
without,2
plan,1
or,14
design,1
shops,2
bath,1
sewers,1
being,2
laid,1
ocean,3
parkway,2
car,1
barns,1
families,3
doubled,1
including,2
mcdonald,1
neck,1
coney,1
running,1
northeast,1
well,1
built,3
2family,1
stucco,1
predominating,2
600011000,1
enjoys,1
fair,5
rental,2
demand,2
55,2
70,2
unit,2
comination,1
8th,5
proposed,3
highway,1
be,3
flushing,1
naval,1
hostpital,1
connect,1
downtown,1
brooklyn,2
meeker,1
over,2
newtown,1
creek,1
dockswarehousesindustrial,1
wallabout,1
broadway,6
myrtle,3
aves,8
4060,1
years,16
59,1
1220,1
story,3
walk,2
2530,1
45,1
pwa,1
slum,10
clearance,3
project,2
completed,2
e,1
leonard,1
marine,2
amount,2
unsightly,1
nearby,2
coupled,1
influences,1
have,15
beneficial,2
effect,3
here,1
realty,2
associates,2
during,1
boom,1
remote,1
retarded,1
competitive,1
mostly,2
speculative,1
depreciation,2
was,3
rapid,1
gerritson,1
principal,1
sewerage,1
paved,1
omitted,1
figures,1
u,1
bathing,1
residence,1
intermingled,1
amusement,1
consequent,2
noise,1
crowds,1
confusion,1
summer,3
15,6
larger,1
apartment,4
812,1
majority,7
buyers,1
do,2
so,1
intention,1
combining,1
ie,1
hair,1
dressing,1
tailoring,1
repairing,1
months,1
suites,2
residents,1
close,5
navy,1
yard,1
overhead,1
50,6
34,1
36,2
40,2
violations,2
revised,2
shifting,1
3040,2
rentring,1
37,1
forclosure,1
hamilton,1
tunnel,3
battery,1
manhattan,5
accomplished,1
9th,5
lorraine,1
dwight,1
clinton,1
merate,1
mized,1
red,1
hook,1
gowanus,2
canal,4
sections,1
year,1
heterogenous,1
616,1
3550,1
350,2
flats,2
case,1
rents,11
higher,1
principally,1
removal,2
obsolescence,19
maintenance,1
negroes,3
lexington,3
grand,2
3,6
612,1
semislum,1
adversely,1
affects,1
c3,1
nw,1
light,1
auto,1
accessories,1
sales,2
shows,1
2,3
4,3
converted,7
singles,3
brown,1
stone,1
48,1
69,1
pre,1
more,5
1015,1
colored,1
definitely,1
adverse,1
influence,1
desirability,1
although,2
will,2
buy,1
prices,3
proposal,1
remove,1
5th,1
se,2
end,2
toward,1
grenwood,1
exceot,1
adjacence,4
age,16
unrestricted,10
arteries,1
catherine,3
division,1
madison,2
delancey,3
rutgers,1
montgomery,1
jackson,1
bowery,2
southernmost,1
portion,1
side,4
slums,1
inconceivable,1
that,1
can,1
get,1
any,2
worse,1
consists,1
great,2
minor,1
number,8
former,5
since,1
listed,1
miscellaneous,1
really,1
cases,2
multidwellings,2
if,1
change,1
either,1
price,1
range,2
those,3
latter,2
they,2
represent,2
minimum,3
earlier,1
whole,1
dumping,1
hordes,1
immigrants,1
entering,1
us,1
thru,5
nyc,1
recent,2
however,1
losing,1
rapidly,1
demolition,6
boarding,2
foreclosures,1
also,2
last,2
acquisitions,1
mortgages,1
surrendur,1
deedsrecent,1
enforcement,1
provisions,1
multidwelling,1
entailing,1
prohibitive,1
costs,1
comply,1
therewith,1
accounted,1
degree,2
equally,1
true,1
prior,1
1901,1
percentage,1
still,1
75,3
dwelling,3
lowest,7
brackets,7
month,7
3035,1
top,2
square,2
block,1
cherry,1
monroe,1
site,1
knickerbocker,1
village,1
intended,1
tenants,1
collar,2
1415,1
various,1
groups,1
working,1
rehabilitate,1
material,1
success,1
concerted,1
action,1
remodeling,1
replacement,5
accomodations,1
excellent,4
partially,1
district,7
mainly,2
rentals,8
flat,1
34th,5
43rd,1
44th,1
51st,2
55th,1
rest,3
several,4
elevator,2
10th,3
certain,2
combination,1
aptstores,1
1st,8
2nd,8
tenement,3
exception,1
42nd,1
known,1
tudor,1
first,1
occupied,1
workers,1
incomes,1
20,3
37th,1
taken,1
authority,1
60,1
tendency,2
spread,1
47th,1
48th,1
zoned,1
residences,2
contains,1
only,3
conversion,2
57th,1
59th,2
columbus,4
amsterdam,1
possibly,1
ultimately,2
become,1
entirely,2
given,1
encreachment,1
72nd,1
circle,1
68th,1
facing,1
priced,1
railway,1
approach,1
100,3
allen,1
houston,3
see,2
description,1
d1,2
stories,1
probably,1
ultimate,1
extensive,2
adequate,1
easy,1
access,1
14th,4
rivington,1
stanton,1
similar,1
physically,1
offers,1
opportunity,1
moderate,1
drive,1
planned,1
extend,1
entire,1
length,1
12th,1
williamsburg,1
involved,1
demoltion,1
generally,1
aptsof,1
quite,2
yrs,1
commanding,2
1224,1
trend,1
w,1
spring,1
varick,1
probable,1
future,1
moderately,1
underneath,1
