word,Overall,A,B,C,D,A_Per,B_Per,C_Per,D_Per,Include?
of,387,31,102,140,114,3.82%,3.15%,3.49%,3.18%,N
and,384,19,108,120,137,2.34%,3.34%,2.99%,3.82%,N
the,341,28,82,140,91,3.45%,2.53%,3.49%,2.54%,N
,282,0,0,0,0,0.00%,0.00%,0.00%,0.00%,N
to,256,24,77,87,68,2.96%,2.38%,2.17%,1.90%,N
in,174,9,51,56,58,1.11%,1.58%,1.40%,1.62%,N
ave,160,13,42,65,40,1.60%,1.30%,1.62%,1.12%,N
a,148,11,34,57,46,1.35%,1.05%,1.42%,1.28%,N
is,136,10,37,59,30,1.23%,1.14%,1.47%,0.84%,N
area,133,13,33,47,40,1.60%,1.02%,1.17%,1.12%,N
houses,131,7,40,44,40,0.86%,1.24%,1.10%,1.12%,N
apartments,127,11,45,57,14,1.35%,1.39%,1.42%,0.39%,N
per,127,6,28,55,38,0.74%,0.86%,1.37%,1.06%,N
are,120,7,38,43,32,0.86%,1.17%,1.07%,0.89%,N
for,115,8,34,47,26,0.99%,1.05%,1.17%,0.73%,N
business,115,13,26,28,48,1.60%,0.80%,0.70%,1.34%,Y
room,109,3,26,51,29,0.37%,0.80%,1.27%,0.81%,N
on,98,2,28,37,31,0.25%,0.86%,0.92%,0.86%,N
transportation,94,9,28,37,20,1.11%,0.86%,0.92%,0.56%,Y
new,83,9,32,27,15,1.11%,0.99%,0.67%,0.42%,N
this,80,3,28,30,19,0.37%,0.86%,0.75%,0.53%,N
with,76,6,16,26,28,0.74%,0.49%,0.65%,0.78%,N
good,75,5,24,34,12,0.62%,0.74%,0.85%,0.33%,Y
park,74,8,28,26,12,0.99%,0.86%,0.65%,0.33%,Y
city,72,11,18,13,30,1.35%,0.56%,0.32%,0.84%,N
all,70,12,23,10,25,1.48%,0.71%,0.25%,0.70%,N
old,67,2,11,21,33,0.25%,0.34%,0.52%,0.92%,Y
facilities,62,8,15,12,27,0.99%,0.46%,0.30%,0.75%,N
renting,60,0,15,29,16,0.00%,0.46%,0.72%,0.45%,N
construction,59,3,16,24,16,0.37%,0.49%,0.60%,0.45%,Y
streets,59,2,18,20,19,0.25%,0.56%,0.50%,0.53%,N
many,55,7,12,16,20,0.86%,0.37%,0.40%,0.56%,N
main,55,9,13,15,18,1.11%,0.40%,0.37%,0.50%,N
some,54,1,15,21,17,0.12%,0.46%,0.52%,0.47%,N
st,54,3,19,8,24,0.37%,0.59%,0.20%,0.67%,N
from,50,3,13,19,15,0.37%,0.40%,0.47%,0.42%,N
near,47,2,11,24,10,0.25%,0.34%,0.60%,0.28%,N
high,46,7,19,10,10,0.86%,0.59%,0.25%,0.28%,Y
poor,46,2,6,21,17,0.25%,0.19%,0.52%,0.47%,Y
brick,45,0,11,18,16,0.00%,0.34%,0.45%,0.45%,N
rent,44,1,9,21,13,0.12%,0.28%,0.52%,0.36%,Y
along,44,1,14,18,11,0.12%,0.43%,0.45%,0.31%,N
have,43,3,13,12,15,0.37%,0.40%,0.30%,0.42%,N
been,42,3,13,12,14,0.37%,0.40%,0.30%,0.39%,N
modern,42,0,13,16,13,0.00%,0.40%,0.40%,0.36%,Y
section,41,2,14,17,8,0.25%,0.43%,0.42%,0.22%,N
as,41,9,13,8,11,1.11%,0.40%,0.20%,0.31%,N
apartment,41,3,14,20,4,0.37%,0.43%,0.50%,0.11%,N
neighborhood,40,2,14,16,8,0.25%,0.43%,0.40%,0.22%,N
by,39,3,17,10,9,0.37%,0.53%,0.25%,0.25%,N
at,37,3,9,11,14,0.37%,0.28%,0.27%,0.39%,N
very,36,4,9,14,9,0.49%,0.28%,0.35%,0.25%,N
desirable,35,1,13,20,1,0.12%,0.40%,0.50%,0.03%,Y
etc,35,1,8,14,12,0.12%,0.25%,0.35%,0.33%,N
class,35,2,17,7,9,0.25%,0.53%,0.17%,0.25%,Y
residential,34,12,8,10,4,1.48%,0.25%,0.25%,0.11%,Y
type,34,2,10,13,9,0.25%,0.31%,0.32%,0.25%,N
has,33,3,9,14,7,0.37%,0.28%,0.35%,0.20%,N
elevator,33,1,16,14,2,0.12%,0.49%,0.35%,0.06%,Y
shopping,32,0,8,16,8,0.00%,0.25%,0.40%,0.22%,N
age,32,1,5,10,16,0.12%,0.15%,0.25%,0.45%,N
years,32,1,10,5,16,0.12%,0.31%,0.12%,0.45%,N
elevated,32,1,1,13,17,0.12%,0.03%,0.32%,0.47%,Y
small,31,2,14,8,7,0.25%,0.43%,0.20%,0.20%,Y
convenient,30,1,10,14,5,0.12%,0.31%,0.35%,0.14%,Y
private,30,8,14,8,0,0.99%,0.43%,0.20%,0.00%,Y
present,30,5,3,7,15,0.62%,0.09%,0.17%,0.42%,N
central,30,10,6,5,9,1.23%,0.19%,0.12%,0.25%,Y
large,29,3,11,6,9,0.37%,0.34%,0.15%,0.25%,N
homes,29,6,15,5,3,0.74%,0.46%,0.12%,0.08%,N
subway,29,2,7,18,2,0.25%,0.22%,0.45%,0.06%,Y
adjacent,29,1,9,11,8,0.12%,0.28%,0.27%,0.22%,N
or,29,1,9,5,14,0.12%,0.28%,0.12%,0.39%,N
up,28,3,5,6,14,0.37%,0.15%,0.15%,0.39%,N
substantial,28,1,10,10,7,0.12%,0.31%,0.25%,0.20%,N
center,27,2,6,14,5,0.25%,0.19%,0.35%,0.14%,N
grade,27,7,4,10,6,0.86%,0.12%,0.25%,0.17%,Y
zoning,27,3,7,5,12,0.37%,0.22%,0.12%,0.33%,Y
family,27,1,5,11,10,0.12%,0.15%,0.27%,0.28%,Y
york,26,5,9,10,2,0.62%,0.28%,0.25%,0.06%,N
north,26,0,10,12,4,0.00%,0.31%,0.30%,0.11%,N
aves,26,0,8,10,8,0.00%,0.25%,0.25%,0.22%,N
industry,26,0,4,6,16,0.00%,0.12%,0.15%,0.45%,Y
location,25,7,4,2,12,0.86%,0.12%,0.05%,0.33%,Y
there,25,6,4,8,7,0.74%,0.12%,0.20%,0.20%,N
low,25,1,2,8,14,0.12%,0.06%,0.20%,0.39%,Y
not,25,1,4,18,2,0.12%,0.12%,0.45%,0.06%,N
east,25,4,5,5,11,0.49%,0.15%,0.12%,0.31%,N
rooming,25,3,9,6,7,0.37%,0.28%,0.15%,0.20%,N
singles,25,0,16,6,3,0.00%,0.49%,0.15%,0.08%,N
rents,25,3,6,5,11,0.37%,0.19%,0.12%,0.31%,N
but,24,2,10,10,2,0.25%,0.31%,0.25%,0.06%,N
broadway,24,1,10,7,6,0.12%,0.31%,0.17%,0.17%,N
house,24,2,8,9,5,0.25%,0.25%,0.22%,0.14%,N
an,24,1,8,6,9,0.12%,0.25%,0.15%,0.25%,N
better,23,1,4,9,9,0.12%,0.12%,0.22%,0.25%,Y
properties,23,0,6,10,7,0.00%,0.19%,0.25%,0.20%,N
street,23,6,4,3,10,0.74%,0.12%,0.07%,0.28%,N
obsolescence,23,1,0,3,19,0.12%,0.00%,0.07%,0.53%,Y
south,23,0,9,10,4,0.00%,0.28%,0.25%,0.11%,N
avenue,23,0,0,2,21,0.00%,0.00%,0.05%,0.59%,N
structures,23,2,4,4,13,0.25%,0.12%,0.10%,0.36%,N
converted,23,1,9,6,7,0.12%,0.28%,0.15%,0.20%,N
buildings,23,1,5,9,8,0.12%,0.15%,0.22%,0.22%,N
well,22,2,14,5,1,0.25%,0.43%,0.12%,0.03%,N
which,22,3,8,6,5,0.37%,0.25%,0.15%,0.14%,N
part,22,2,6,8,6,0.25%,0.19%,0.20%,0.17%,N
number,22,2,5,7,8,0.25%,0.15%,0.17%,0.22%,N
none,22,7,8,0,7,0.86%,0.25%,0.00%,0.20%,Y
tenements,22,0,1,2,19,0.00%,0.03%,0.05%,0.53%,Y
it,21,3,4,9,5,0.37%,0.12%,0.22%,0.14%,N
most,21,0,10,4,7,0.00%,0.31%,0.10%,0.20%,N
one,21,3,10,5,3,0.37%,0.31%,0.12%,0.08%,N
units,21,0,6,5,10,0.00%,0.19%,0.12%,0.28%,N
walkup,21,1,6,9,5,0.12%,0.19%,0.22%,0.14%,Y
stores,21,0,4,11,6,0.00%,0.12%,0.27%,0.17%,N
parkway,20,1,7,10,2,0.12%,0.22%,0.25%,0.06%,N
about,20,0,6,5,9,0.00%,0.19%,0.12%,0.25%,N
